player_name,team,class_year,position,games_played,archetype_id,archetype_name,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct,Player,Draft_Prob
Mary McMillan,Stetson Hatters Women's,SR,G,32.0,2,High-Volume Wing/Guard,598982,704684,810387,14.7,0.438,0.35,0.737,0.266,0.04,0.1,0.8,0.234,0.555,Mary McMillan,0.00016221029766017812
Aleah Sorrentino,Stetson Hatters Women's,SR,F,32.0,3,Interior Specialist,527174,620205,713235,10.6,0.451,0.411,0.472,0.155,0.153,0.6,1.0,0.226,0.492,Aleah Sorrentino,3.153649878247326e-05
Promise Keshi,Stetson Hatters Women's,SR,G,31.0,0,Elite Two-Way Big,481094,565992,650891,8.0,0.509,0.256,0.941,0.148,0.124,1.2,1.8,0.162,0.551,Promise Keshi,0.001454530872767223
Harmanie Dominguez,Stephen F. Austin Ladyjacks Women's,SR,G,35.0,2,High-Volume Wing/Guard,564916,664607,764298,12.8,0.397,0.366,0.819,0.125,0.063,0.2,1.1,0.192,0.563,Harmanie Dominguez,4.832194165552706e-05
Faith Feuerbach,St. Thomas Tommies Women's,SR,G,32.0,1,Bench Guard/Wing,509204,599064,688923,9.6,0.386,0.331,0.746,0.13,0.047,0.4,1.0,0.189,0.516,Faith Feuerbach,4.5146646259776485e-05
Jada Hood,St. Thomas Tommies Women's,SR,G,32.0,2,High-Volume Wing/Guard,501614,590134,678654,9.2,0.364,0.329,0.718,0.261,0.109,0.3,1.2,0.216,0.497,Jada Hood,8.561029382340815e-06
Shaulana Wagner,St. John's (NY) Red Storm Women's,SR,G,30.0,1,Bench Guard/Wing,461079,542446,623813,6.8,0.401,0.196,0.569,0.36,0.077,0.1,0.7,0.217,0.448,Shaulana Wagner,0.00010483334420828025
Jailah Donald,St. John's (NY) Red Storm Women's,SR,G,33.0,1,Bench Guard/Wing,432568,508904,585239,5.1,0.37,0.306,0.679,0.167,0.051,0.1,0.5,0.148,0.482,Jailah Donald,3.895687590769958e-05
Laycee Drake,St. Bonaventure Bonnies Women's,SR,G,33.0,0,Elite Two-Way Big,613258,721481,829703,15.5,0.442,0.333,0.82,0.222,0.118,0.5,1.7,0.292,0.517,Laycee Drake,0.0011032115248079586
Aaliyah Parker,St. Bonaventure Bonnies Women's,SR,G,32.0,0,Elite Two-Way Big,561222,660262,759301,12.6,0.398,0.302,0.789,0.184,0.138,0.4,2.2,0.328,0.472,Aaliyah Parker,1.5341067672679415e-05
Jakayla Johnson,Southern Miss Lady Eagles Women's,SR,G,31.0,2,High-Volume Wing/Guard,614978,723503,832029,15.6,0.457,0.392,0.825,0.13,0.074,0.1,1.4,0.263,0.581,Jakayla Johnson,0.0007565070502250533
Meloney Thames,Southern Miss Lady Eagles Women's,SR,G,31.0,2,High-Volume Wing/Guard,573535,674747,775959,13.3,0.342,0.247,0.705,0.145,0.053,0.2,1.2,0.241,0.443,Meloney Thames,1.0669401693683864e-05
Hayleigh Breland,Southern Miss Lady Eagles Women's,SR,G,30.0,2,High-Volume Wing/Guard,546606,643066,739526,11.7,0.371,0.295,0.862,0.147,0.07,0.0,1.1,0.234,0.459,Hayleigh Breland,4.487733212676155e-05
Carly Keats,Southern Miss Lady Eagles Women's,SR,G,31.0,2,High-Volume Wing/Guard,519643,611344,703046,10.2,0.389,0.37,0.815,0.144,0.05,0.1,0.7,0.183,0.534,Carly Keats,5.6574550169152305e-05
Brikayla Gray,Southern Miss Lady Eagles Women's,SR,G,31.0,3,Interior Specialist,569137,669573,770009,4.0,0.445,0.222,0.667,0.083,0.113,0.5,0.9,0.108,0.488,Brikayla Gray,0.000686786708424608
Ayanna Thompson,SMU Mustangs Women's,SR,G,30.0,1,Bench Guard/Wing,450853,530415,609977,6.2,0.32,0.341,0.744,0.133,0.045,0.3,1.3,0.171,0.432,Ayanna Thompson,1.3146771121791474e-05
Grace Hall,SMU Mustangs Women's,SR,F,27.0,1,Bench Guard/Wing,579413,681662,783911,4.6,0.37,0.286,0.577,0.108,0.093,1.6,1.1,0.138,0.441,Grace Hall,0.003736597935465167
Ali Saunders,Southern Indiana Screaming Eagles Women's,SR,G,31.0,2,High-Volume Wing/Guard,654568,770080,885592,17.8,0.39,0.397,0.901,0.286,0.048,0.2,2.1,0.267,0.537,Ali Saunders,5.433267984174592e-05
Macy Silvey,SIU-Edwardsville Cougars Women's,SR,G,32.0,1,Bench Guard/Wing,508661,598425,688189,9.6,0.351,0.336,0.708,0.075,0.068,0.1,0.6,0.183,0.488,Macy Silvey,0.0006573907271525235
Indya Green,Southern Illinois Salukis Women's,SR,F,30.0,3,Interior Specialist,569552,670061,770570,13.0,0.474,0.25,0.652,0.035,0.181,0.6,1.1,0.275,0.498,Indya Green,8.874216072494563e-05
Jeniah Thompson,Southern Illinois Salukis Women's,SR,G,30.0,3,Interior Specialist,515110,606011,696913,9.9,0.474,0.302,0.734,0.141,0.144,0.1,1.4,0.205,0.529,Jeniah Thompson,1.8601013493816094e-05
Kara Dunn,USC Women of Troy Women's,SR,G,32.0,2,High-Volume Wing/Guard,607368,714550,821733,15.2,0.475,0.378,0.741,0.133,0.085,0.4,1.2,0.219,0.589,Kara Dunn,0.30912034513660136
Londynn Jones,USC Women of Troy Women's,SR,G,32.0,2,High-Volume Wing/Guard,524990,617635,710281,10.5,0.383,0.327,0.844,0.139,0.036,0.2,0.7,0.238,0.519,Londynn Jones,0.0007645198891146455
Jaylia Reed,Southern Lady Jaguars Women's,SR,G,34.0,1,Bench Guard/Wing,480637,565455,650273,7.9,0.377,0.36,0.762,0.13,0.047,0.1,0.7,0.169,0.538,Jaylia Reed,3.451693723820183e-05
Carmen Taylor,Southeast Missouri State Redhawks Women's,SR,G,32.0,2,High-Volume Wing/Guard,565643,665462,765281,12.8,0.367,0.336,0.714,0.128,0.045,0.1,1.5,0.223,0.495,Carmen Taylor,1.9864576634063525e-05
