player_name,team,class_year,position,games_played,archetype_id,archetype_name,draft_probability,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct
Leena Patibandla,Wisconsin Badgers Women's,JR,G,12.0,1,Bench Guard/Wing,,504268,593257,682245,0.5,0.2,0.0,0.667,0.203,0.099,0.1,0.2,0.175,0.263
Amourie Porter,Winthrop Eagles Women's,JR,G,31.0,0,Elite Two-Way Big,,627158,737833,848508,16.3,0.452,0.32,0.764,0.147,0.125,0.4,1.6,0.254,0.538
Madison Ruff,Winthrop Eagles Women's,SO,G,32.0,3,Interior Specialist,,532641,626636,720631,10.9,0.478,0.25,0.598,0.138,0.081,0.4,2.0,0.231,0.509
Mya Pierfax,Winthrop Eagles Women's,SR,G,32.0,1,Bench Guard/Wing,,508661,598425,688189,9.6,0.369,0.292,0.781,0.089,0.041,0.1,0.9,0.197,0.478
Cori Lard,Winthrop Eagles Women's,SR,G,32.0,2,High-Volume Wing/Guard,,502155,590771,679386,9.2,0.392,0.286,0.708,0.22,0.048,0.3,1.8,0.189,0.484
Ryiah Wilson,Winthrop Eagles Women's,FR,G,32.0,1,Bench Guard/Wing,,456494,537051,617609,6.5,0.33,0.271,0.561,0.088,0.074,0.1,2.8,0.196,0.416
Persais Williams,Winthrop Eagles Women's,SO,G,26.0,3,Interior Specialist,,557036,655337,753638,3.3,0.432,0.0,0.742,0.064,0.075,0.3,0.6,0.12,0.49
Jada Ryce,Winthrop Eagles Women's,SR,G,24.0,1,Bench Guard/Wing,,556028,654150,752273,3.3,0.323,0.13,0.786,0.061,0.056,0.0,0.4,0.156,0.385
Mya Hamilton,Winthrop Eagles Women's,FR,G,12.0,1,Bench Guard/Wing,,527463,620545,713626,1.8,0.25,0.25,1.0,0.093,0.033,0.0,0.6,0.136,0.405
Cassidy Geddes,William & Mary Tribe Women's,JR,G,31.0,2,High-Volume Wing/Guard,,581554,684181,786808,13.7,0.351,0.277,0.741,0.174,0.052,0.5,1.9,0.265,0.433
Monet Dance,William & Mary Tribe Women's,JR,G,31.0,2,High-Volume Wing/Guard,,508416,598137,687857,9.5,0.334,0.301,0.756,0.223,0.058,0.0,1.8,0.199,0.447
Jana Sallman,William & Mary Tribe Women's,JR,F,28.0,3,Interior Specialist,,493966,581136,668306,8.7,0.474,0.0,0.772,0.147,0.175,1.0,0.4,0.278,0.512
Alexa Mikeska,William & Mary Tribe Women's,SR,G,31.0,4,Efficient Role Player,,451292,530932,610571,6.2,0.475,0.286,0.827,0.242,0.091,0.3,1.9,0.119,0.582
Kyah Smith,William & Mary Tribe Women's,JR,G,23.0,1,Bench Guard/Wing,,443025,521206,599387,5.7,0.398,0.316,0.8,0.126,0.047,0.0,0.5,0.173,0.479
