PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,player_norm,player_full_name,team_abbrev,old_salary,old_salary_year,signed_as,projected_new_salary
1628317,Karlie Samuelson,WAS,30.0,29,24.5,8.4,2.7,6.7,0.409,1.7,4.2,0.398,1.2,1.3,0.923,0.5,2.0,2.6,2.1,0.9,0.0,0.9,98.3,98.3,0.1,0.145,2.48,20.9,0.021,0.084,0.053,0.536,0.578,0.145,96.94,0.093,karlie samuelson,Karlie Samuelson,DAL,118450.0,2025,UFA,524949.0
1642324,Kate Martin,LVA,25.0,34,11.5,2.6,0.8,2.6,0.307,0.6,1.8,0.355,0.3,0.4,0.917,0.2,1.4,1.6,0.9,0.2,0.2,0.6,100.6,100.4,0.2,0.112,1.43,20.8,0.016,0.117,0.068,0.432,0.466,0.124,101.98,0.046,kate martin,Kate Martin,GSV,68595.0,2025,,279758.0
1629478,Katie Lou Samuelson,IND,28.0,37,18.2,4.3,1.4,3.9,0.349,0.9,2.7,0.33,0.6,0.7,0.96,0.5,1.8,2.3,1.4,0.3,0.2,0.5,100.0,105.9,-5.9,0.11,2.83,22.8,0.025,0.099,0.062,0.462,0.506,0.108,99.08,0.056,katie lou samuelson,Katie Lou Samuelson,LAS,130000.0,2023,,526544.0
203825,Kayla McBride,MIN,33.0,39,31.7,15.0,4.5,10.6,0.42,2.7,6.6,0.407,3.4,3.8,0.893,0.4,2.2,2.6,3.2,1.3,0.1,2.0,104.5,92.5,12.0,0.161,1.59,18.7,0.012,0.065,0.04,0.547,0.611,0.197,96.1,0.113,kayla mcbride,Kayla McBride,MIN,205000.0,2025,UFA,872171.0
203866,Kayla Thornton,NYL,32.0,40,20.2,5.5,1.9,5.1,0.379,1.1,3.2,0.357,0.6,0.7,0.846,1.0,1.6,2.6,0.7,0.7,0.2,0.6,101.6,94.5,7.2,0.052,1.17,10.2,0.047,0.079,0.063,0.49,0.515,0.126,97.63,0.058,kayla thornton,Kayla Thornton,GSV,112000.0,2025,,617137.0
1628909,Kelsey Mitchell,IND,29.0,40,32.0,19.2,7.1,15.1,0.468,2.7,6.8,0.402,2.4,2.8,0.832,0.7,1.8,2.5,1.8,0.7,0.2,1.6,105.2,107.3,-2.1,0.096,1.11,9.1,0.021,0.054,0.038,0.559,0.588,0.238,98.22,0.102,kelsey mitchell,Kelsey Mitchell,IND,249244.0,2025,Core,1218090.0
1628276,Kelsey Plum,LVA,30.0,38,34.0,17.8,6.1,14.4,0.423,2.9,7.9,0.368,2.7,3.1,0.866,0.3,2.3,2.6,4.2,0.7,0.0,2.4,106.0,98.6,7.5,0.205,1.71,18.8,0.008,0.066,0.038,0.523,0.563,0.237,98.05,0.09,kelsey plum,Kelsey Plum,LAS,202000.0,2025,Core,1189669.0
1629568,Kennedy Burke,NYL,28.0,38,12.1,3.4,1.4,3.5,0.409,0.4,1.5,0.259,0.2,0.3,0.667,0.4,1.2,1.5,0.9,0.6,0.3,0.7,97.3,91.9,5.5,0.122,1.22,16.7,0.031,0.093,0.063,0.466,0.477,0.154,99.18,0.067,kennedy burke,Kennedy Burke,NYL,78831.0,2025,UFA,360117.0
1628915,Kia Nurse,LAS,29.0,40,20.3,7.6,2.6,6.6,0.388,1.3,4.0,0.331,1.2,1.5,0.793,0.4,1.2,1.6,1.3,0.5,0.0,1.2,94.1,104.0,-9.9,0.116,1.08,13.6,0.021,0.059,0.04,0.489,0.525,0.178,98.37,0.051,kia nurse,Kia Nurse,CHI,145000.0,2025,UFA,633011.0
204329,Kiah Stokes,LVA,32.0,39,18.4,1.4,0.5,1.6,0.323,0.2,1.0,0.225,0.2,0.2,0.667,0.6,4.1,4.7,0.7,0.5,0.8,0.4,101.6,97.6,4.0,0.055,1.87,25.7,0.033,0.217,0.129,0.395,0.417,0.051,97.05,0.065,kiah stokes,Kiah Stokes,LVA,115000.0,2022,UFA,510782.0
1630461,Kiana Williams,SEA,26.0,13,3.5,0.8,0.3,1.2,0.25,0.2,0.7,0.333,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.2,93.4,90.9,2.5,0.179,2.5,21.7,0.0,0.034,0.017,0.344,0.344,0.155,95.41,0.008,kiana williams,Kiana Williams,MIN,62285.0,2023,UFA,289566.0
1631006,Kierstan Bell,LVA,25.0,6,7.2,2.8,1.0,2.7,0.375,0.7,1.3,0.5,0.2,0.3,0.5,0.2,0.8,1.0,0.8,0.0,0.0,0.2,101.2,96.7,4.5,0.179,5.0,21.7,0.024,0.098,0.065,0.5,0.504,0.178,98.07,0.073,kierstan bell,Kierstan Bell,LVA,84543.0,2025,Rookie,324267.0
1628929,Kristy Wallace,IND,29.0,26,17.2,4.7,1.8,4.5,0.402,0.7,2.2,0.293,0.5,0.7,0.667,0.4,1.4,1.8,1.7,0.7,0.2,0.7,99.0,107.6,-8.5,0.151,2.65,24.1,0.025,0.084,0.055,0.474,0.492,0.136,99.42,0.068,kristy wallace,Kristy Wallace,IND,80823.0,2025,Rookie,313601.0
1630438,Kysre Gondrezick,CHI,27.0,5,3.3,1.0,0.4,1.4,0.286,0.2,1.2,0.167,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.8,0.0,0.6,70.3,71.4,-1.2,0.222,0.67,16.7,0.059,0.05,0.054,0.357,0.357,0.238,106.34,0.072,kysre gondrezick,Kysre Gondrezick,IND,70040.0,2021,Rookie,281939.0
1641656,Laeticia Amihere,ATL,23.0,17,4.9,1.1,0.4,1.5,0.269,0.0,0.0,0.0,0.3,1.0,0.294,0.7,0.9,1.6,0.2,0.1,0.2,0.5,76.2,87.7,-11.6,0.094,0.38,6.7,0.115,0.185,0.146,0.269,0.284,0.198,99.56,0.003,laeticia amihere,Laeticia Amihere,GSV,79999.0,2025,,445168.0
203406,Layshia Clarendon,LAS,34.0,21,15.9,4.3,1.5,3.6,0.427,0.3,1.0,0.35,1.0,1.1,0.87,0.3,1.5,1.8,2.6,0.7,0.0,1.2,96.1,102.2,-6.1,0.261,2.16,32.7,0.017,0.102,0.057,0.473,0.535,0.138,99.34,0.073,layshia clarendon,Layshia Clarendon,NYL,120000.0,2021,,659885.0
1630142,Leonie Fiebich,NYL,25.0,40,20.9,6.7,2.4,5.1,0.478,1.4,3.2,0.433,0.5,0.6,0.72,1.0,2.1,3.0,1.8,1.0,0.2,1.0,107.7,90.7,17.0,0.126,1.71,21.5,0.048,0.094,0.072,0.613,0.624,0.132,96.81,0.082,leonie fiebich,Leonie Fiebich,NYL,68595.0,2025,,279758.0
1628882,Lexie Brown,LAS,30.0,16,23.7,8.1,2.6,8.2,0.321,1.3,4.3,0.304,1.5,1.7,0.889,0.1,2.3,2.3,3.3,1.1,0.1,1.9,94.6,99.2,-4.6,0.245,1.71,23.7,0.003,0.096,0.049,0.401,0.451,0.196,96.78,0.077,lexie brown,Lexie Brown,SEA,96408.0,2025,UFA,433863.0
1631086,Lexie Hull,IND,25.0,34,19.7,5.5,1.8,4.0,0.441,1.0,2.1,0.471,1.0,1.2,0.805,1.0,1.5,2.5,1.1,0.6,0.3,0.9,109.2,106.2,3.1,0.077,1.24,16.3,0.053,0.073,0.064,0.563,0.604,0.12,98.09,0.049,lexie hull,Lexie Hull,IND,88261.0,2025,Rookie,334807.0
1629574,Li Yueru,LAS,26.0,38,14.4,5.1,1.8,3.9,0.463,0.1,0.4,0.267,1.4,1.6,0.898,1.4,2.2,3.7,0.6,0.3,0.2,0.9,95.2,102.9,-7.7,0.073,0.67,9.6,0.099,0.161,0.129,0.476,0.558,0.16,98.33,0.083,li yueru,Li Yueru,DAL,66079.0,2025,,279661.0
1628263,Lindsay Allen,CHI,30.0,40,23.8,6.6,2.6,5.6,0.466,0.4,1.2,0.292,1.1,1.3,0.808,0.3,1.7,2.0,3.9,0.8,0.2,1.6,99.5,100.4,-0.9,0.247,2.45,33.7,0.013,0.069,0.04,0.498,0.537,0.136,96.3,0.088,lindsay allen,Lindsay Allen,CHI,90000.0,2024,UFA,407104.0
1641700,Liz Dixon,PHO,24.0,18,8.9,1.7,0.6,1.6,0.379,0.0,0.0,0.0,0.4,0.6,0.8,0.8,1.5,2.3,0.5,0.1,0.5,0.4,86.7,104.9,-18.2,0.108,1.13,17.6,0.079,0.171,0.122,0.379,0.449,0.108,98.21,0.074,liz dixon,Liz Dixon,MIN,64154.0,2024,UFA,297599.0
1631032,Lorela Cubaj,ATL,26.0,28,7.9,1.2,0.5,1.3,0.429,0.0,0.0,0.0,0.1,0.2,0.6,0.7,0.8,1.5,0.5,0.3,0.1,0.4,88.7,98.7,-10.0,0.124,1.25,23.4,0.077,0.106,0.09,0.429,0.444,0.093,97.2,0.035,lorela cubaj,Lorela Cubaj,ATL,64154.0,2024,UFA,297599.0
1641661,Lou Lopez Sénéchal,DAL,27.0,27,4.6,0.9,0.4,1.3,0.294,0.1,0.6,0.2,0.1,0.1,0.5,0.1,0.3,0.4,0.4,0.1,0.0,0.2,81.0,115.8,-34.8,0.133,1.67,19.2,0.023,0.068,0.044,0.338,0.35,0.134,103.26,0.006,lou lopez senechal,Lou Lopez Sénéchal,DAL,79999.0,2025,Rookie,311222.0
1641652,Maddy Siegrist,DAL,25.0,27,23.8,9.4,3.9,7.8,0.505,0.4,1.4,0.27,1.2,1.6,0.767,1.6,1.7,3.3,1.0,0.4,0.4,0.6,98.8,107.6,-8.8,0.069,1.8,10.0,0.066,0.074,0.07,0.529,0.557,0.158,98.31,0.089,maddy siegrist,Maddy Siegrist,DAL,83371.0,2025,,463372.0
