PLAYER_NAME,TEAM_ABBREVIATION,archetype_id,old_salary,PTS,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TO,STL,BLK,USG_PCT,FG3A
Emily Engstler,WAS,4,91981.0,6.2,0.494,0.474,0.818,0.581,0.602,0.095,0.185,0.14,0.186,2.142857142857143,0.6,0.8,0.173,1.8
Erica Wheeler,IND,1,202154.0,3.6,0.411,0.288,0.846,0.465,0.484,0.013,0.082,0.049,0.209,2.0,0.4,0.1,0.145,1.3
Ezi Magbegor,SEA,0,186000.0,11.7,0.512,0.245,0.874,0.531,0.578,0.07,0.186,0.127,0.105,1.4285714285714286,1.1,2.2,0.16,1.4
Gabby Williams,SEA,2,225000.0,10.3,0.481,0.323,0.737,0.529,0.552,0.026,0.116,0.07,0.196,2.6428571428571432,1.7,0.3,0.163,2.6
Haley Jones,ATL,1,79999.0,3.9,0.397,0.214,0.702,0.418,0.465,0.014,0.107,0.06,0.196,1.2352941176470589,0.4,0.3,0.142,0.7
Isabelle Harrison,CHI,3,160000.0,6.5,0.399,0.167,0.82,0.405,0.45,0.063,0.182,0.12,0.084,0.7272727272727273,0.6,0.3,0.217,0.5
Jackie Young,LVA,2,169950.0,15.8,0.43,0.337,0.867,0.505,0.557,0.022,0.108,0.067,0.271,2.5238095238095237,1.0,0.2,0.22,5.6
Jacy Sheldon,DAL,1,74909.0,5.4,0.386,0.309,0.926,0.457,0.489,0.028,0.063,0.045,0.156,1.5625,0.6,0.3,0.128,2.4
Jade Melbourne,WAS,1,66710.0,5.4,0.434,0.357,0.714,0.494,0.53,0.025,0.079,0.053,0.199,0.9411764705882354,0.6,0.1,0.202,1.5
Jaelyn Brown,DAL,4,66079.0,2.6,0.484,0.5,0.333,0.581,0.572,0.041,0.099,0.067,0.07,0.4444444444444445,0.3,0.3,0.123,0.9
Jewell Loyd,SEA,2,249032.0,19.7,0.36,0.274,0.881,0.408,0.497,0.02,0.108,0.065,0.181,1.565217391304348,1.4,0.2,0.278,5.8
Jonquel Jones,NYL,0,211150.0,14.2,0.538,0.388,0.788,0.615,0.645,0.06,0.237,0.151,0.18,1.3333333333333335,0.8,1.3,0.194,3.9
Jordan Horston,SEA,4,76630.0,6.8,0.493,0.25,0.721,0.522,0.545,0.053,0.136,0.095,0.125,1.0588235294117647,1.3,0.7,0.15,1.3
Jordin Canada,ATL,2,190000.0,10.6,0.39,0.281,0.781,0.435,0.504,0.018,0.099,0.056,0.312,2.761904761904762,1.6,0.3,0.176,2.9
Julie Vanloo,WAS,1,66079.0,7.4,0.346,0.324,0.667,0.464,0.47,0.005,0.071,0.037,0.295,1.6538461538461537,0.5,0.0,0.195,5.6
